executeTime,3
numberOfGoods,20
psoPopSize,500
cognativeCoeff,1.1193
socialCoeff,1.1193
intertia,0.721

Seed,Revenue
0,4771.16
50,5526.23
100,6483.69
150,6336.2
200,5294.39
250,6019.8
300,4057.29
350,6200.44
400,6864.59
450,5821.13
500,6711.35
550,6823.86
600,5158.17
650,4380.02
700,6722.47
750,7843.35
800,5016.28
850,4165.26
900,6059.16
950,5022.51
Average,5763.8675
